stock_id,symbol,isin,first_seen
9354,BUILDPRO,INE24OJ01011,2026-09-07
2153917,BURGERKING,,2026-09-07
233,BURNPUR,INE817H01022,2026-09-07
234,BUTTERFLY,INE295F01017,2026-09-07
9853,BVCL,INE139I01011,2026-09-07
235,BYKE,INE319B01014,2026-09-07
236,CADILAHC,,2026-09-07
237,CALSOFT,INE526B01014,2026-09-07
238,CAMLINFINE,INE052I01032,2026-09-07
9356,CAMPUS,INE278Y01022,2026-09-07
11777,CAMS,INE596I01020,2026-09-07
239,CANBK,INE476A01022,2026-09-07
240,CANFINHOME,INE477A01020,2026-09-07
9846,CANHLIFE,INE01TY01017,2026-09-07
241,CANTABIL,INE068L01024,2026-09-07
242,CAPACITE,INE264T01014,2026-09-07
10544,CAPILLARY,INE0ILV01024,2026-09-07
10251,CAPITALSFB,INE646H01017,2026-09-07
243,CAPLIPOINT,INE475E01026,2026-09-07
244,CAPTRUST,INE707C01018,2026-09-07
245,CARBORUNIV,INE120A01034,2026-09-07
246,CAREERP,,2026-09-07
247,CARERATING,INE752H01013,2026-09-07
9627,CARRARO,INE0V7W01012,2026-09-07
11455,CARTRADE,INE290S01011,2026-09-07
9796,CARYSIL,INE482D01024,2026-09-07
836622,CASHIETF,,2026-09-07
248,CASTEXTECH,,2026-09-07
249,CASTROLIND,INE172A01027,2026-09-07
9369,CCAVENUE,INE483S01020,2026-09-07
9795,CCCL,INE429I01024,2026-09-07
250,CCHHL,INE652F01027,2026-09-07
251,CCL,INE421D01022,2026-09-07
252,CDSL,INE736A01011,2026-09-07
253,CEATLTD,INE482A01020,2026-09-07
254,CEBBCO,,2026-09-07
9921,CEIGALL,INE0AG901020,2026-09-07
11399,CEINSYS,INE016Q01014,2026-09-07
255,CELEBRITY,INE185H01016,2026-09-07
11763,CELLO,INE0LMW01024,2026-09-07
1623248,CEMNTGROWW,,2026-09-07
10463,CEMPRO,INE686A01026,2026-09-07
256,CENTENKA,INE485A01015,2026-09-07
257,CENTEXT,INE281A01026,2026-09-07
258,CENTRALBK,INE483A01010,2026-09-07
259,CENTRUM,INE660C01027,2026-09-07
260,CENTUM,INE320B01020,2026-09-07
261,CENTURYPLY,INE348B01021,2026-09-07
262,CENTURYTEX,,2026-09-07
263,CERA,INE739E01017,2026-09-07
500814,CEREBRAINT,,2026-09-07
264,CESC,INE486A01021,2026-09-07
265,CESCVENT,,2026-09-07
10878,CEWATER,INE037Z01029,2026-09-07
11655,CFEL,INE700F01024,2026-09-07
266,CGCL,INE180C01042,2026-09-07
267,CGPOWER,INE067A01029,2026-09-07
10040,CGVAK,INE084D01010,2026-09-07
268,CHALET,INE427F01016,2026-09-07
269,CHAMBLFERT,INE085A01013,2026-09-07
270,CHEMBOND,INE995D01025,2026-09-07
9579,CHEMBONDCH,INE0TGX01019,2026-09-07
9611,CHEMCON,INE03YM01018,2026-09-07
10872,CHEMCRUX,INE298W01016,2026-09-07
271,CHEMFAB,INE783X01023,2026-09-07
1193761,CHEMICAL,,2026-09-07
10001,CHEMPLASTS,INE488A01050,2026-09-07
272,CHENNPETRO,INE178A01016,2026-09-07
11002,CHEVIOT,INE974B01016,2026-09-07
1177689,CHOICEGOLD,,2026-09-07
9625,CHOICEIN,INE102B01014,2026-09-07
273,CHOLAFIN,INE121A01024,2026-09-07
274,CHOLAHLDNG,INE149A01033,2026-09-07
